"Live births and late fetal deaths by sex 1951-2018"

"Sex";"Year";"Live births Total"
"Total";"1951";3999
"Total";"1952";4075
"Total";"1953";4254
"Total";"1954";4281
"Total";"1955";4505
"Total";"1956";4603
"Total";"1957";4725
"Total";"1958";4641
"Total";"1959";4837
"Total";"1960";4916
"Total";"1961";4563
"Total";"1962";4711
"Total";"1963";4820
"Total";"1964";4787
"Total";"1965";4721
"Total";"1966";4692
"Total";"1967";4404
"Total";"1968";4227
"Total";"1969";4218
"Total";"1970";4023
"Total";"1971";4277
"Total";"1972";4676
"Total";"1973";4598
"Total";"1974";4276
"Total";"1975";4384
"Total";"1976";4291
"Total";"1977";3996
"Total";"1978";4162
"Total";"1979";4475
"Total";"1980";4528
"Total";"1981";4345
"Total";"1982";4337
"Total";"1983";4371
"Total";"1984";4113
"Total";"1985";3856
"Total";"1986";3881
"Total";"1987";4193
"Total";"1988";4673
"Total";"1989";4560
"Total";"1990";4768
"Total";"1991";4533
"Total";"1992";4609
"Total";"1993";4623
"Total";"1994";4442
"Total";"1995";4280
"Total";"1996";4329
"Total";"1997";4151
"Total";"1998";4178
"Total";"1999";4100
"Total";"2000";4315
"Total";"2001";4091
"Total";"2002";4049
"Total";"2003";4143
"Total";"2004";4234
"Total";"2005";4280
"Total";"2006";4415
"Total";"2007";4560
"Total";"2008";4835
"Total";"2009";5026
"Total";"2010";4907
"Total";"2011";4492
"Total";"2012";4533
"Total";"2013";4326
"Total";"2014";4375
"Total";"2015";4129
"Total";"2016";4034
"Total";"2017";4071
"Total";"2018";4228
