"Live births by sex and martial status of mother 1838-2018"

"Year";"Total live births Total live birhs"
"1838";1851
"1839";1838
"1840";1994
"1841";2118
"1842";2112
"1843";1996
"1844";1913
"1845";2047
"1846";2073
"1847";1923
"1848";2137
"1849";2144
"1850";2284
"1851";2310
"1852";2380
"1853";2478
"1854";2482
"1855";2445
"1856";2417
"1857";2664
"1858";2857
"1859";2600
"1860";2390
"1861";2445
"1862";2603
"1863";2551
"1864";2667
"1865";2659
"1866";2578
"1867";2668
"1868";2373
"1869";2121
"1870";2191
"1871";2195
"1872";2196
"1873";2369
"1874";2259
"1875";2268
"1876";2355
"1877";2183
"1878";2366
"1879";2249
"1880";2268
"1881";2324
"1882";2299
"1883";2112
"1884";2315
"1885";2252
"1886";2137
"1887";2008
"1888";1917
"1889";2180
"1890";2189
"1891";2358
"1892";2262
"1893";2313
"1894";2168
"1895";2477
"1896";2352
"1897";2380
"1898";2290
"1899";2243
"1900";2237
"1901";2179
"1902";2220
"1903";2244
"1904";2293
"1905";2271
"1906";2346
"1907";2304
"1908";2270
"1909";2283
"1910";2171
"1911";2205
"1912";2234
"1913";2216
"1914";2338
"1915";2446
"1916";2377
"1917";2427
"1918";2441
"1919";2342
"1920";2627
"1921";2601
"1922";2546
"1923";2612
"1924";2525
"1925";2554
"1926";2676
"1927";2642
"1928";2542
"1929";2644
"1930";2808
"1931";2804
"1932";2696
"1933";2531
"1934";2597
"1935";2551
"1936";2557
"1937";2397
"1938";2374
"1939";2363
"1940";2480
"1941";2634
"1942";3005
"1943";3173
"1944";3213
"1945";3434
"1946";3434
"1947";3706
"1948";3821
"1949";3884
"1950";4093
"1951";3999
"1952";4075
"1953";4254
"1954";4281
"1955";4505
"1956";4603
"1957";4725
"1958";4641
"1959";4837
"1960";4916
"1961";4563
"1962";4711
"1963";4820
"1964";4787
"1965";4721
"1966";4692
"1967";4404
"1968";4227
"1969";4218
"1970";4023
"1971";4277
"1972";4676
"1973";4598
"1974";4276
"1975";4384
"1976";4291
"1977";3996
"1978";4162
"1979";4475
"1980";4528
"1981";4345
"1982";4337
"1983";4371
"1984";4113
"1985";3856
"1986";3881
"1987";4193
"1988";4673
"1989";4560
"1990";4768
"1991";4533
"1992";4609
"1993";4623
"1994";4442
"1995";4280
"1996";4329
"1997";4151
"1998";4178
"1999";4100
"2000";4315
"2001";4091
"2002";4049
"2003";4143
"2004";4234
"2005";4280
"2006";4415
"2007";4560
"2008";4835
"2009";5026
"2010";4907
"2011";4492
"2012";4533
"2013";4326
"2014";4375
"2015";4129
"2016";4034
"2017";4071
"2018";4228
