"Deaths and crude death rate by sex and age 1841-2018"

"Year";"Age";"Number Total"
"1841";"1st year";622
"1842";"1st year";523
"1843";"1st year";870
"1844";"1st year";460
"1845";"1st year";521
"1846";"1st year";1266
"1847";"1st year";649
"1848";"1st year";500
"1849";"1st year";547
"1850";"1st year";552
"1851";"1st year";565
"1852";"1st year";516
"1853";"1st year";489
"1854";"1st year";554
"1855";"1st year";604
"1856";"1st year";545
"1857";"1st year";545
"1858";"1st year";595
"1859";"1st year";759
"1860";"1st year";779
"1861";"1st year";628
"1862";"1st year";805
"1863";"1st year";549
"1864";"1st year";617
"1865";"1st year";597
"1866";"1st year";711
"1867";"1st year";619
"1868";"1st year";625
"1869";"1st year";676
"1870";"1st year";434
"1871";"1st year";534
"1872";"1st year";748
"1873";"1st year";418
"1874";"1st year";374
"1875";"1st year";403
"1876";"1st year";418
"1877";"1st year";312
"1878";"1st year";398
"1879";"1st year";309
"1880";"1st year";385
"1881";"1st year";526
"1882";"1st year";1010
"1883";"1st year";509
"1884";"1st year";322
"1885";"1st year";336
"1886";"1st year";293
"1887";"1st year";319
"1888";"1st year";243
"1889";"1st year";204
"1890";"1st year";523
"1891";"1st year";313
"1892";"1st year";240
"1893";"1st year";207
"1894";"1st year";286
"1895";"1st year";306
"1896";"1st year";254
"1897";"1st year";316
"1898";"1st year";345
"1899";"1st year";201
"1900";"1st year";285
"1901";"1st year";176
"1902";"1st year";267
"1903";"1st year";273
"1904";"1st year";174
"1905";"1st year";243
"1906";"1st year";192
"1907";"1st year";274
"1908";"1st year";376
"1909";"1st year";279
"1910";"1st year";229
"1911";"1st year";178
"1912";"1st year";149
"1913";"1st year";149
"1914";"1st year";213
"1915";"1st year";162
"1916";"1st year";193
"1917";"1st year";147
"1918";"1st year";113
"1919";"1st year";165
"1920";"1st year";219
"1921";"1st year";138
"1922";"1st year";139
"1923";"1st year";133
"1924";"1st year";148
"1925";"1st year";115
"1926";"1st year";131
"1927";"1st year";220
"1928";"1st year";117
"1929";"1st year";114
"1930";"1st year";127
"1931";"1st year";137
"1932";"1st year";121
"1933";"1st year";107
"1934";"1st year";136
"1935";"1st year";173
"1936";"1st year";120
"1937";"1st year";77
"1938";"1st year";67
"1939";"1st year";87
"1940";"1st year";89
"1941";"1st year";87
"1942";"1st year";156
"1943";"1st year";96
"1944";"1st year";125
"1945";"1st year";118
"1946";"1st year";98
"1947";"1st year";83
"1948";"1st year";100
"1949";"1st year";92
"1950";"1st year";89
"1951";"1st year";109
"1952";"1st year";84
"1953";"1st year";81
"1954";"1st year";78
"1955";"1st year";101
"1956";"1st year";80
"1957";"1st year";80
"1958";"1st year";87
"1959";"1st year";79
"1960";"1st year";64
"1961";"1st year";89
"1962";"1st year";81
"1963";"1st year";82
"1964";"1st year";84
"1965";"1st year";71
"1966";"1st year";64
"1967";"1st year";59
"1968";"1st year";59
"1969";"1st year";49
"1970";"1st year";53
"1971";"1st year";55
"1972";"1st year";53
"1973";"1st year";44
"1974";"1st year";50
"1975";"1st year";55
"1976";"1st year";33
"1977";"1st year";38
"1978";"1st year";47
"1979";"1st year";24
"1980";"1st year";35
"1981";"1st year";26
"1982";"1st year";31
"1983";"1st year";27
"1984";"1st year";25
"1985";"1st year";22
"1986";"1st year";21
"1987";"1st year";30
"1988";"1st year";29
"1989";"1st year";25
"1990";"1st year";28
"1991";"1st year";25
"1992";"1st year";22
"1993";"1st year";22
"1994";"1st year";14
"1995";"1st year";26
"1996";"1st year";16
"1997";"1st year";23
"1998";"1st year";11
"1999";"1st year";10
"2000";"1st year";13
"2001";"1st year";11
"2002";"1st year";9
"2003";"1st year";10
"2004";"1st year";12
"2005";"1st year";10
"2006";"1st year";6
"2007";"1st year";9
"2008";"1st year";12
"2009";"1st year";9
"2010";"1st year";11
"2011";"1st year";4
"2012";"1st year";5
"2013";"1st year";8
"2014";"1st year";9
"2015";"1st year";9
"2016";"1st year";3
"2017";"1st year";11
"2018";"1st year";7
